time,evesche
09:00,Hacking Continues
10:00,Mentoring Session - 2
12:00,Final Submission
13:00,Lunch Break
14:00,Speaker Session by Mr. Sanchit Jain
16:00,Judging Session by Track Sponsors
17:30,Announcement of top 10 teams for Final Round (2 from each track)
18:00,Presentation by top 10 teams and Final Result Declaration (both Trackwise and Final Round)
20:00,HackNUThon 4.0 ends
